,brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
1232172,10001,Hockley Valley Brewing Co.,1268863522,3.5,3.5,3.0,MattyV,Irish Dry Stout,2.0,3.0,Hockley Stout,4.6,35859
521244,113,Samuel Smith Old Brewery (Tadcaster),1209435786,4.5,4.0,4.5,bluegrassbrew,English Porter,4.0,4.0,"Samuel Smith's, The Famous Taddy Porter",5.0,572
1098847,418,Left Hand Brewing Company,1309720985,3.5,3.5,3.5,DrJay,English India Pale Ale (IPA),3.5,3.5,400 Pound Monkey,6.7,44706
246137,607,High Point Brewing Company,1063648679,4.5,4.5,4.0,Dantes,Märzen / Oktoberfest,4.5,4.0,Ramstein Oktoberfest,6.0,12718
1260943,112,North Coast Brewing Co.,1269408994,4.0,4.0,3.5,nickfl,German Pilsener,3.5,3.5,Scrimshaw Pilsner,4.4,409
1519120,735,21st Amendment Brewery,1310115300,3.5,3.5,3.5,rootbeerman,American Double / Imperial IPA,3.0,3.5,Hop Crisis,9.7,42063
1350294,7944,Ridgeway Brewing,1261368179,4.0,3.5,3.5,Richardberg,Foreign / Export Stout,4.0,4.0,Lump Of Coal,8.0,20905
218892,158,Great Divide Brewing Company,1322882947,4.0,4.0,4.0,SolipsismalCat,Old Ale,4.0,4.0,Hibernation Ale,8.7,1446
1057389,200,Mendocino Brewing Company,1227070530,3.5,4.0,4.0,PatrickJR,American Barleywine,3.5,3.0,Talon - True Style Barley Wine Ale,10.5,16439
1472182,1086,Cleveland ChopHouse And Brewery,1170090653,4.5,4.0,4.0,mattcrill,Belgian Strong Pale Ale,4.0,4.0,Hop Diablo,,35010
262063,357,New England Brewing Co.,1299986899,4.0,4.5,4.0,augustgarage,American Double / Imperial IPA,3.0,3.5,Gandhi-Bot Double IPA,8.8,57259
333911,619,Indian Wells Brewing Company,1289539398,1.0,3.0,1.0,GarthDanielson,Fruit / Vegetable Beer,1.5,1.5,Raspberry Ale,5.0,43360
554537,467,Summit Brewing Company,1320369606,4.0,4.0,4.0,mobius387,American Black Ale,3.5,3.5,Summit Black Ale,6.5,74759
606283,16589,Spring House Brewing Company,1262409431,4.0,3.5,4.0,mikesgroove,Saison / Farmhouse Ale,4.0,3.5,Two Front Teeth Holiday Ale,9.75,46153
1417439,139,Shipyard Brewing Co.,1243127074,3.5,3.5,4.0,jwhawkins81,Extra Special / Strong Bitter (ESB),4.0,4.0,Old Thumper ESA,5.9,293
1565084,436,Brouwerij Alken-Maes,1281764113,4.0,3.5,4.0,weazal,Belgian Pale Ale,3.5,3.0,Grimbergen Blonde,6.7,7864
114447,76,Hacker-Pschorr Bräu GmbH,1284942691,3.5,4.0,3.5,bskrtz,Dunkelweizen,3.0,3.5,Hacker-Pschorr Dunkle Weisse,5.3,666
279768,15280,Atwater Block Brewery,1253311063,1.0,1.0,1.5,gatornation,American IPA,1.0,1.0,Atwater Salvation IPA,6.0,27243
291710,35,Boston Beer Company (Samuel Adams),1130042717,4.5,3.5,4.0,DArinello,Märzen / Oktoberfest,3.5,4.0,Samuel Adams Octoberfest,5.3,102
831192,267,Odell Brewing Company,1306103485,3.5,3.5,5.0,Allpe45,American Double / Imperial Pilsner,3.0,3.5,Odell Double Pilsner,8.1,31255
875213,147,Stone Brewing Co.,1129157377,5.0,4.5,4.0,ghostwalker,American Double / Imperial IPA,4.0,5.0,Stone Ruination IPA,7.7,4083
1355318,220,Lagunitas Brewing Company,1224786443,3.5,4.0,4.0,ViveLaChouffe,Tripel,4.0,3.5,We're Only In It For The Money,8.2,43659
1276056,14154,Furthermore Beer,1203132766,4.0,4.0,4.0,sweethome,Belgian IPA,4.5,4.0,Makeweight,8.5,40510
1284947,335,New Holland Brewing Company,1195266024,4.0,4.0,3.0,GRPunk,American Brown Ale,4.0,4.5,New Holland Cabin Fever Brown Ale,6.25,3914
96068,140,Sierra Nevada Brewing Co.,1267934104,4.0,3.5,4.0,womencantsail,American Pale Wheat Ale,3.5,3.5,Sierra Nevada Wheat Beer,4.4,282
1456881,2681,Oskar Blues Grill & Brew,1247428986,3.5,4.0,4.5,sonicstylee,Czech Pilsener,4.5,4.0,Mama's Little Yella Pils,5.3,48139
634607,1114,Bullfrog Brewery,1236617509,3.5,3.5,3.5,Kegatron,Munich Helles Lager,4.0,3.5,Holy Helles Gone Wild,5.0,48328
945674,287,"Bell's Brewery, Inc.",1262999464,4.0,4.5,4.5,drgonzo3705,American Double / Imperial Stout,4.0,4.0,Bell's Bourbon Barrel Aged Cherry Stout,8.5,37847
1036904,11031,Brouwerij De Molen,1305326548,4.0,4.0,4.5,tbeckett,American Double / Imperial IPA,4.0,3.5,Amarillo,9.2,46596
1485928,23980,Yuengling Brewery ,1086132244,3.0,3.0,3.0,elsinore,American Porter,2.0,2.5,Yuengling Porter (Dark Brewed),4.7,921
704649,378,Atlantic Brewing Company,1142945647,2.5,3.5,3.0,lordofthewiens,Braggot,3.0,3.0,Brother Adam's Bragget Ale,11.8,2486
1539408,318,Castello Di Udine S.p.A.,1114802963,4.0,4.0,4.0,Skidz,Euro Pale Lager,3.5,4.0,Castello Birra Italiana / Friulana Blonda,5.0,11225
1424264,385,Midnight Sun Brewing Co.,1293519357,3.0,4.0,3.5,jrallen34,American Porter,3.5,2.5,TREAT (Imperial Chocolate Pumpkin Porter),7.8,26972
589591,1549,Goose Island Beer Co.,1287887388,3.5,4.0,3.5,allergictomacros,American Pale Wheat Ale,3.5,3.5,312 Urban Wheat,4.2,17141
128981,848,Bristol Brewing Company,1090424550,4.5,4.5,5.0,RBorsato,Oatmeal Stout,4.0,4.5,Winter Warlock Oatmeal Stout,6.5,2883
1408077,664,Wells & Young's Ltd,1313887260,4.0,3.5,4.5,DUBinMIA,Fruit / Vegetable Beer,4.0,4.0,Wells Banana Bread Beer,5.2,5488
1370111,220,Lagunitas Brewing Company,1040499687,3.5,4.0,4.0,Bighuge,American Pale Ale (APA),4.0,3.5,Dogtown Pale Ale,6.1,1145
337190,15526,Hopfenstark,1296246371,4.0,4.0,4.5,jpmclaug,Altbier,4.0,3.0,Ostalgia Rousse,5.0,42987
1111706,3081,Shaw Wallace & Company Ltd.,1306283393,3.0,3.0,3.0,ejimhof,American Malt Liquor,3.0,3.0,Haywards 5000 Super Premium Beer,7.0,7357
1242045,209,Guinness Ltd.,1102380341,4.0,4.0,4.0,jwilli7122,Irish Dry Stout,2.0,2.0,Guinness Draught,4.2,754
925743,1314,Port Washington Brewing Co.,1060984970,3.5,3.5,4.0,Winter,American Amber / Red Ale,3.0,4.0,Port Washington Amber Ale,,3598
1430949,15824,Skookum Brewery,1292021495,4.5,3.5,3.0,beertunes,American Strong Ale,3.0,4.0,Mule,7.2,59175
882576,147,Stone Brewing Co.,1097453151,4.0,4.0,4.0,bigchris1313,Belgian Strong Pale Ale,4.5,4.0,Stone 04.04.04 Vertical Epic Ale,8.5,16441
